,Nú,DA-24(\/kWh),DA-DT(\/kWh),DA-PT(\/kWh),TTV(kWh)
189,2020/10/07,4.77,5.14,5.02,839229550
190,2020/10/08,5.96,7.06,8.01,834373500
191,2020/10/09,5.79,6.83,6.52,837549500
192,2020/10/10,4.61,4.99,4.73,787653400
193,2020/10/11,4.09,4.22,3.6,761231600
194,2020/10/12,5.59,6.52,6.34,828180750
195,2020/10/13,5.11,5.45,5.36,862955150
196,2020/10/14,5.15,5.66,5.11,850701600
197,2020/10/15,5.31,5.89,5.21,858484550
198,2020/10/16,5.33,5.67,5.84,847469100
199,2020/10/17,5.43,6.01,5.9,778278400
200,2020/10/18,4.42,4.52,3.77,731050100
201,2020/10/19,5.33,6.07,6.77,820903650
202,2020/10/20,5.01,5.35,4.41,849484150
203,2020/10/21,5.18,5.74,5.25,844138250
204,2020/10/22,6.46,7.73,8.31,821601600
205,2020/10/23,5.79,6.54,5.75,811984850
206,2020/10/24,4.48,4.55,3.94,782054300
207,2020/10/25,3.46,3.01,2.17,694934900
208,2020/10/26,4.93,5.27,5.15,813409400
209,2020/10/27,5.32,5.73,4.98,814708150
210,2020/10/28,5.82,6.21,5.71,835021750
211,2020/10/29,5.38,5.84,5.19,849304450
212,2020/10/30,6.08,7.2,5.3,850411600
213,2020/10/31,4.74,4.79,3.83,733759400
214,2020/11/01,4.7,4.59,3.88,752719300
215,2020/11/02,7.17,8.7,9.17,799187900
216,2020/11/03,4.82,4.97,4.51,756820650
217,2020/11/04,5.33,5.71,5.16,829976900
218,2020/11/05,5.68,5.94,5.38,866447600
219,2020/11/06,6.34,7.1,6.4,850458750
220,2020/11/07,5.42,5.49,5.66,777849450
221,2020/11/08,4.53,4.57,3.88,759377600
222,2020/11/09,5.43,5.8,5.53,879414350
223,2020/11/10,5.79,6.02,5.61,883766900
224,2020/11/11,6.37,6.78,5.68,866031950
225,2020/11/12,6.51,6.69,6.07,888564400
226,2020/11/13,6.19,6.22,5.92,867670350
227,2020/11/14,5.25,5.11,4.34,738894650
228,2020/11/15,4.73,4.59,3.81,704540550
229,2020/11/16,5.76,6.28,6.18,836298400
230,2020/11/17,5.73,5.93,5.71,859382150
231,2020/11/18,5.68,5.93,6.03,839418950
232,2020/11/19,5.51,5.98,6.2,840822250
233,2020/11/20,5.59,6.16,6.2,845811800
234,2020/11/21,4.7,4.87,4.17,747586600
235,2020/11/22,4.81,4.91,4.23,744252450
236,2020/11/23,4.81,5.07,4.5,752052050
237,2020/11/24,5.63,6.06,6.06,857924400
238,2020/11/25,6.03,6.66,6.25,862874300
239,2020/11/26,5.6,5.88,6.16,864914850
240,2020/11/27,6.22,6.72,6.47,872672150
241,2020/11/28,5.11,5.22,4.36,797997300
242,2020/11/29,5.3,5.21,4.32,786462950
243,2020/11/30,6.05,6.31,5.76,889016550
244,2020/12/01,5.81,6.04,5.36,916060800
245,2020/12/02,6.32,6.61,5.94,952909600
246,2020/12/03,6.07,6.27,5.72,948962500
247,2020/12/04,6.11,6.11,5.67,957433450
248,2020/12/05,6.13,6.0,5.32,875449900
249,2020/12/06,5.14,5.27,4.4,829077750
250,2020/12/07,5.7,6.02,5.55,949592450
251,2020/12/08,6.04,6.28,6.07,954248000
252,2020/12/09,6.92,7.31,6.67,976504300
253,2020/12/10,7.05,7.49,7.05,971496300
254,2020/12/11,6.63,6.72,6.48,971504650
255,2020/12/12,6.55,6.6,6.52,873749350
256,2020/12/13,5.89,5.87,5.4,863198750
257,2020/12/14,7.54,8.57,7.48,968650800
258,2020/12/15,9.73,10.35,9.27,1016009350
259,2020/12/16,20.35,24.33,16.73,952863100
260,2020/12/17,24.3,30.06,14.16,954340850
261,2020/12/18,24.66,29.81,21.95,961235050
262,2020/12/19,13.75,15.14,7.76,971163300
263,2020/12/20,8.82,9.41,6.54,948071250
264,2020/12/21,14.72,17.4,8.58,1069575850
265,2020/12/22,13.38,15.01,9.51,1061948800
266,2020/12/23,11.53,10.57,8.22,1047399550
267,2020/12/24,17.27,18.95,14.55,923932850
268,2020/12/25,14.65,14.79,10.12,1057377500
269,2020/12/26,35.83,38.59,13.69,802513800
270,2020/12/27,25.84,32.77,11.5,792377050
271,2020/12/28,30.82,37.71,19.22,870232050
272,2020/12/29,20.17,22.4,8.86,848890350
273,2020/12/30,29.38,35.51,14.74,809350900
274,2020/12/31,28.69,28.11,13.15,816192800
275,2021/01/01,30.15,28.97,11.18,803921500
276,2021/01/02,32.83,33.11,14.83,826142250
277,2021/01/03,37.66,37.51,16.53,800795200
278,2021/01/04,48.52,49.65,32.05,871400800
279,2021/01/05,62.41,67.69,59.21,870212800
280,2021/01/06,79.38,83.58,77.54,876079050
281,2021/01/07,89.82,96.91,93.72,881190950
282,2021/01/08,99.9,107.62,103.27,900651550
283,2021/01/09,91.69,92.06,60.28,840975100
284,2021/01/10,90.46,88.99,45.72,838169900
285,2021/01/11,117.39,128.99,98.23,814328250
286,2021/01/12,150.25,195.56,191.72,845751950
287,2021/01/13,154.57,176.98,135.7,868918150
288,2021/01/14,127.51,152.82,85.84,890669900
289,2021/01/15,127.4,154.76,98.8,894687150
290,2021/01/16,48.51,50.45,11.79,840108100
291,2021/01/17,34.97,45.49,19.2,829904550
292,2021/01/18,77.2,95.43,33.36,899903650
293,2021/01/19,97.62,120.52,59.65,891854050
294,2021/01/20,97.62,120.8,57.63,893536350
295,2021/01/21,77.9,87.62,28.47,898049750
296,2021/01/22,62.71,78.33,59.63,887239500
297,2021/01/23,29.14,38.94,25.73,845029250
298,2021/01/24,23.01,30.07,14.15,784588550
299,2021/01/25,12.08,11.38,5.17,913047800
300,2021/01/26,11.9,13.3,10.62,912144800
301,2021/01/27,8.56,9.16,6.75,1015312650
302,2021/01/28,9.73,10.86,8.82,1013369950
303,2021/01/29,9.53,10.43,8.23,1049760750
304,2021/01/30,8.06,8.28,6.17,978390250
305,2021/01/31,6.57,6.31,4.33,946563350
306,2021/02/01,8.17,8.35,7.32,1011265150
307,2021/02/02,7.7,7.94,6.23,1032250900
308,2021/02/03,8.29,8.58,7.14,1044186400
309,2021/02/04,8.41,8.52,7.02,1050875050
310,2021/02/05,7.75,7.66,6.43,1049168250
311,2021/02/06,6.51,6.33,4.49,946582000
312,2021/02/07,5.69,5.41,3.95,879219200
313,2021/02/08,7.31,7.7,5.49,1008743000
314,2021/02/09,8.04,8.11,5.89,1023697800
315,2021/02/10,7.46,7.25,5.67,1010253600
316,2021/02/11,7.12,6.86,5.31,944804250
317,2021/02/12,7.45,7.5,6.93,1023571350
318,2021/02/13,5.97,5.76,4.64,919403050
319,2021/02/14,5.14,4.96,3.9,881522750
320,2021/02/15,8.12,9.0,8.11,938205150
321,2021/02/16,7.35,7.16,5.27,959768350
322,2021/02/17,10.69,11.96,8.46,994764250
323,2021/02/18,12.4,14.22,8.92,1031210450
324,2021/02/19,8.36,7.79,5.53,1040540050
325,2021/02/20,6.66,5.97,4.15,909621550
326,2021/02/21,4.78,3.75,1.03,696531050
327,2021/02/22,5.65,5.21,4.46,923409550
328,2021/02/23,6.46,6.43,4.79,793549750
329,2021/02/24,7.53,7.63,5.08,988037550
330,2021/02/25,8.08,8.02,6.78,1010001250
331,2021/02/26,9.17,10.38,9.48,991098150
332,2021/02/27,7.23,7.13,5.21,867980200
333,2021/02/28,6.38,6.0,4.19,886984200
334,2021/03/01,6.72,6.94,6.29,900688950
335,2021/03/02,8.09,9.4,8.65,925876900
336,2021/03/03,7.61,7.75,5.59,930874800
337,2021/03/04,7.3,7.28,6.31,918257450
338,2021/03/05,6.67,7.15,6.3,896857600
339,2021/03/06,6.26,6.5,5.62,856065550
340,2021/03/07,6.37,6.59,4.94,863377550
341,2021/03/08,7.16,7.48,5.75,896492100
342,2021/03/09,7.72,7.62,6.3,945335800
343,2021/03/10,6.29,6.12,4.76,909078600
344,2021/03/11,7.02,6.78,5.62,881194250
345,2021/03/12,7.77,8.23,7.87,879381000
346,2021/03/13,6.58,6.24,5.63,827634050
347,2021/03/14,4.9,4.1,1.76,722123100
348,2021/03/15,5.95,5.64,4.51,893990700
349,2021/03/16,6.43,6.54,6.22,868769750
350,2021/03/17,6.24,5.84,4.98,874154300
351,2021/03/18,6.28,5.91,5.05,806981000
352,2021/03/19,6.27,6.03,5.17,897860650
353,2021/03/20,6.59,6.16,5.54,840084650
354,2021/03/21,6.2,6.38,5.63,820194900
355,2021/03/22,6.18,6.26,4.9,861329600
356,2021/03/23,6.03,5.37,4.14,818368650
357,2021/03/24,6.08,5.61,4.63,871516450
358,2021/03/25,6.29,6.2,5.19,876168250
359,2021/03/26,4.99,4.32,2.76,877127150
360,2021/03/27,4.38,3.61,2.69,717804950
361,2021/03/28,5.23,5.29,5.0,735331100
362,2021/03/29,4.5,4.01,2.54,781961750
363,2021/03/30,5.25,5.22,4.93,924321800
364,2021/03/31,4.12,3.33,1.37,803264300
